DBUID,CSDUID
59070273002,5907041
59070273003,5907041
59070273004,5907041
59070297003,5907041
59070297004,5907041
59070298001,5907041
59070298002,5907041
59030221006,5903013
59030221007,5903013
59030238010,5903039
59030237042,5903010
59030237043,5903010
59030237044,5903010
59030237045,5903010
59030237046,5903010
59030237047,5903010
59030237048,5903010
59030237049,5903010
59030237050,5903010
59030237051,5903010
59030237052,5903010
59030237053,5903010
59050064123,5905042
59050064124,5905042
59050064125,5905042
59050072053,5905032
59050072054,5905032
59050072055,5905032
59050072056,5905032
59050072057,5905032
59090511001,5909062
59090511002,5909062
59090512002,5909062
59090512003,5909062
59090512005,5909062
59090512006,5909062
59070146006,5907053
59070146007,5907053
59070146008,5907053
59070146009,5907053
59070146010,5907053
59030136035,5903027
59030136036,5903027
59030136037,5903027
59030136038,5903027
59030136039,5903027
59030136040,5903027
59030136041,5903027
59030136042,5903027
59030136043,5903027
59030136044,5903027
59030136046,5903027
59030136047,5903027
59030136048,5903027
59030136049,5903027
59030137006,5903052
59030137007,5903052
59030137008,5903052
59030137010,5903052
59030164027,5903015
59050115014,5905005
59050115015,5905005
59050115016,5905005
59050115017,5905005
59050115018,5905005
59050115019,5905005
59050115020,5905005
59050115021,5905005
59050115022,5905005
59050118001,5905026
59070149044,5907053
59050118002,5905026
59050118003,5905026
59050118004,5905026
59070149047,5907053
59030166011,5903043
59030166012,5903043
59030166014,5903043
59030166015,5903043
59030166018,5903043
59030189031,5903045
59030190002,5903045
59030190005,5903045
59030190006,5903045
59030190011,5903045
59090459002,5909048
59090459003,5909048
59090459004,5909048
59090460002,5909875
59050062053,5905054
59070200014,5907035
59070200015,5907035
59070201004,5907035
59070201007,5907035
59070201008,5907035
59070201012,5907035
59070244008,5907041
59070245001,5907041
59070245002,5907041
59070245003,5907041
59070245004,5907041
59070245005,5907041
59090649027,5909009
59090649028,5909009
59090650008,5909009
59090651001,5909009
59090651002,5909009
59090651004,5909009
59090651005,5909009
59030228038,5903010
59030228039,5903010
59090063043,5909052
59090063044,5909052
59090063045,5909052
59090063046,5909052
59090064001,5909052
59090064002,5909052
59090065001,5909052
59090065002,5909052
59090065003,5909052
59090386008,5909052
59090069001,5909052
59090069008,5909052
59090069010,5909052
59090069012,5909052
59090069014,5909052
59070152026,5907053
59070152027,5907053
59070152028,5907053
59070152029,5907053
59070153009,5907009
59070153012,5907009
59070153020,5907009
59070153021,5907009
59070153022,5907009
59070153023,5907009
59070153024,5907009
59070153027,5907009
59070153028,5907009
59070153029,5907009
59070153030,5907009
59070153031,5907009
59070153032,5907009
59090520020,5909060
59090520021,5909060
59090601026,5909034
59090601034,5909034
59090601035,5909034
59090601036,5909034
59090601037,5909034
59070291011,5907005
59070294006,5907005
59070294010,5907005
59070294011,5907005
59070294012,5907005
59070294013,5907005
59070294014,5907005
59070294015,5907005
59070294016,5907005
59070292001,5907005
59070155004,5907026
59070155016,5907026
59070155018,5907026
59070155020,5907026
59070155021,5907026
59070156001,5907801
59070175013,5907047
59090527002,5909885
59090527003,5909885
59090527004,5909885
59090531008,5909020
59090524024,5909062
59090524025,5909062
59090605006,5909032
59090605007,5909032
59090606001,5909032
59090606003,5909032
59070298003,5907041
59070301002,5907024
59090094004,5909052
59090095001,5909052
59090095002,5909052
59090095005,5909052
59090095006,5909052
59090095007,5909052
59090095008,5909052
59090095009,5909052
59090096001,5909052
59090097011,5909052
59090097012,5909052
59090098001,5909052
59090098002,5909052
59090098003,5909052
59090098004,5909052
59050064126,5905042
59050064127,5905042
59050064128,5905042
59050064129,5905042
59050064130,5905042
59050064131,5905042
59050064132,5905042
59050065006,5905052
59050065010,5905052
59050065014,5905052
59050065019,5905052
59050065020,5905052
59050065021,5905052
59050065023,5905052
59050072058,5905032
59050073010,5905032
59050073011,5905032
59050073022,5905032
59050073025,5905032
59050073026,5905032
59050073027,5905032
59050085045,5905023
59090512007,5909062
59090512008,5909062
59010224010,5901017
59010224011,5901017
59010224012,5901017
59070147002,5907807
59070163014,5907014
59010128072,5901039
59010128073,5901039
59010128074,5901039
59010128075,5901039
59010128076,5901039
59010129008,5901039
59030164028,5903015
59030164029,5903015
59030164030,5903015
59030165001,5903043
59030165002,5903043
59090381006,5909052
59030228023,5903010
59030228024,5903010
59030228025,5903010
59030228026,5903010
59070149048,5907053
59070149050,5907053
59070149051,5907053
59070149052,5907053
59070149053,5907053
59050062054,5905054
59050062055,5905054
59050062056,5905054
59050062057,5905054
59050063001,5905054
59070245006,5907041
59070245007,5907041
59070245008,5907041
59070245009,5907041
59070247018,5907041
59070248001,5907041
59070248002,5907041
59070248003,5907041
59070248004,5907041
59070248005,5907041
59070249001,5907041
59070246001,5907041
59070246003,5907041
59070246004,5907041
59070246005,5907041
59070246006,5907041
59070246007,5907041
59070246008,5907041
59070246009,5907041
59070246011,5907041
59030228040,5903010
59030228041,5903010
59030228042,5903010
59030228043,5903010
59030229014,5903041
59090069017,5909052
59090069029,5909052
59090390004,5909052
59090391001,5909052
59090391002,5909052
59090392001,5909052
59090392002,5909052
59090393001,5909052
59070173001,5907047
59070173009,5907047
59070153033,5907009
59070153034,5907009
59070153037,5907009
59070153038,5907009
59070173010,5907047
59070173011,5907047
59070173012,5907047
59090601038,5909034
59090601043,5909034
59090601046,5909034
59090601047,5909034
59090601048,5909034
59090601049,5909034
59090601050,5909034
59090651013,5909009
59070292005,5907005
59070292006,5907005
59070293004,5907005
59070293005,5907005
59070293006,5907005
59070293008,5907005
59070293009,5907005
59070293010,5907005
59070293011,5907005
59070293012,5907005
59070293015,5907005
59070293016,5907005
59070294001,5907005
59070294002,5907005
59070175014,5907047
59070175015,5907047
59070176008,5907047
59070176010,5907047
59070176011,5907047
59070176012,5907047
59070176013,5907047
59070176014,5907047
59070176015,5907047
59090606004,5909032
59090606005,5909032
59090606006,5909032
59090607001,5909032
59090608001,5909032
59090608002,5909032
59090608003,5909032
