Place ID,Place Name,Place Type,Coastal_5km,FN Reserve Type,Distance to Nearest Substation (km),Nearest Substation Name,Distance to Nearest Transmission Line (km),Transmission Lines Owner,Transmission Line Description,Transmission Line Voltage (kV),POP Capacity (Gbps) for communities that are within 2km of POP,Remaining Capacity of POP (Gbps) - (-1 indicates capacity is unknown),CBC P3 Last-Mile Eligible,CRTC Last-Mile Eligible,CRTC Satellite Dependant,CRTC Transport Eligible,Last-Mile Status - Sept2019,Transport Status - Sept2019,Notes - Sept2019,Last-Mile Status (March2020),Transport Status (March2020),Notes (March2020),Last-Mile Status (June2020),Transport Status (June2020),Notes (June2020),Last-Mile Status (Sept2020),Transport Status (Sept2020),Notes (Sept2020),CBC Phase,CBC P3 Project Type,CBC P3 Project Name(s),CBC P2 Project Type,CBC P2 Project Name(s),CBC P1 Project Type,CBC P1 Project Name(s),479 Status (Sept2019),479 Status (March 2020),479 Notes (March2020),479 Status (June2020),479 Notes (June2020),479 Status (Sept2020),479 Notes (Sept2020),Potential Projects,FN Alt Name,Nation,Band Number,Incorporated,Latitude,Longitude,DBUID,CDUID,CSDUID,HEXID
7957,Nelson,Rural,No,,51.5,SELKIRK SUB,1.4,Private,KCL - Kootenay Canal -> SLC - Slocan,69,100,100,No,No,No ,No,Yes,Yes,,Yes,Yes,,Yes,Yes,,Yes,Yes,,,,,,,,,,,,,,,,CBBC - Trail-Nelson Transport,,,,Yes,49.4975,-117.2824,59030148000,5903,5903015,BC49511173
7958,Winlaw,Rural,No,,44.5,NEW DENVER SUB,0.4,Private,SEL - Selkirk -> ACK - Ashton Creek,500,,,Yes,Yes,No ,Yes,No,Pending,Connecting BC Phase 2 Project,No,Pending,,No,Pending,,No,Pending,,Phase 2,,,Transport,Columbia Basin Broadband Corporation - Slocan Valley Fibre Project,,,Original,Original,,Original,,Original,,,,,,No,49.6144,-117.5497,59030141000,5903,5903052,BC49641176
7959,Slocan,Rural,No,,26.6,NEW DENVER SUB,0.8,Private,MON - Monashee -> NDR - New Denver,69,1,-1,No,Yes,No ,No,No,Pending,Connecting BC Phase 2 Project,No,Pending,,Yes,Pending,Market Forces,Yes,Pending,,Phase 1/2,,,Transport,Columbia Basin Broadband Corporation - Slocan Valley Fibre Project,Last-Mile,Columbia Basin Broadband Corporation - Rural & Remote Broadband Connectivity Project,Original,Original,,Original,,Original,,,,,,Yes,49.7667,-117.4667,59030138100,5903,5903019,BC49771175
7960,Silverton,Rural,No,,5,NEW DENVER SUB,5,,MON - Monashee -> NDR - New Denver,69,,,Yes,Yes,No ,Yes,No,Pending,Connecting BC Phase 2 Project,No,Pending,,No,Pending,,No,Pending,,Phase 2,,,Transport,Columbia Basin Broadband Corporation - Slocan Valley Fibre Project,,,Original,Original,,Original,,Original,,,,,,Yes,49.9528,-117.3583,59030136000,5903,5903027,BC49951173
7961,New Denver,Rural,No,,0.7,NEW DENVER SUB,0.7,,MON - Monashee -> NDR - New Denver,69,100,-1,No,Yes,No ,No,No,Pending,Connecting BC Phase 2 Project,No,Pending,,Yes,Pending,Market Forces,Yes,Pending,,Phase 2,,,Transport,Columbia Basin Broadband Corporation - Slocan Valley Fibre Project,,,Original,Original,,Original,,Original,,,,,,Yes,49.9917,-117.3736,59030135000,5903,5903032,BC49981174
7962,Salmo,Rural,No,,21.1,NELWAY SUB,0,Private,NLY - Nelway -> CBK - Cranbrook,230,1,-1,No,Yes,No ,No,No,No,Connecting BC Phase 1 Project - Completed Winter 2019,No,Yes,,Yes,Yes,Market Forces,Yes,Yes,,Phase 1,,,,,Last-Mile,Columbia Basin Broadband Corporation - Rural & Remote Broadband Connectivity Project,Original,Original,,Original,,Original,,CBBC - Trail-Nelson Transport,,,,Yes,49.1916,-117.2768,59030201000,5903,5903011,BC49201173
7963,Fruitvale,Rural,No,,6.5,SELKIRK SUB,0.4,Private,SEL - Selkirk -> ACK - Ashton Creek,500,10,-1,No,No,No ,No,Yes,Yes,Connecting BC Phase 1 Project - Completed Winter 2019,Yes,Yes,,Yes,Yes,,Yes,Yes,,Phase 1,,,,,Last-Mile,Columbia Basin Broadband Corporation - Rural & Remote Broadband Connectivity Project,Original,Original,,Original,,Original,,CBBC - Trail-Nelson Transport,,,,Yes,49.1139,-117.5478,59050111000,5905,5905005,BC49121176
7964,Montrose,Rural,No,,6.1,SELKIRK SUB,1,Private,VAS - Vaseux -> SEL - Selkirk,500,1,-1,No,No,No ,No,Yes,Yes,,Yes,Yes,,Yes,Yes,,Yes,Yes,,,,,,,,,,,,,,,,CBBC - Trail-Nelson Transport,,,,Yes,49.0788,-117.5907,59050102000,5905,5905009,BC49071176
7965,Trail,Rural,No,,14.4,SELKIRK SUB,1,Private,VAS - Vaseux -> SEL - Selkirk,500,100,100,No,No,No ,No,Yes,Yes,,Yes,Yes,,Yes,Yes,,Yes,Yes,,,,,,,,,,,,,,,,CBBC - Trail-Nelson Transport,,,,Yes,49.1,-117.7,59050095000,5905,5905014,BC49121177
7966,Warfield,Rural,No,,17.6,SELKIRK SUB,0,Private,VAS - Vaseux -> SEL - Selkirk,500,100,100,No,No,No ,No,Yes,Yes,,Yes,Yes,,Yes,Yes,,Yes,Yes,,,,,,,,,,,,,,,,,,,,Yes,49.0945,-117.7486,59050087000,5905,5905018,BC49101177
7967,Rossland,Rural,No,,21.1,SELKIRK SUB,0.5,Private,VAS - Vaseux -> SEL - Selkirk,500,10,5,No,No,No ,No,Yes,Yes,Connecting BC Phase 1 Project - Completed Winter 2019,Yes,Yes,,Yes,Yes,,Yes,Yes,,Phase 1,,,,,Last-Mile,Columbia Basin Broadband Corporation - Rural & Remote Broadband Connectivity Project,Original,Original,,Original,,Original,,,,,,Yes,49.0775,-117.8008,59050085000,5905,5905023,BC49071178
7968,Genelle,Rural,No,,21.5,SELKIRK SUB,0.8,Private,SEL - Selkirk -> ACK - Ashton Creek,500,1,-1,No,No,No ,No,Yes,Yes,Connecting BC Phase 1 Project - Completed Winter 2019,Yes,Yes,,Yes,Yes,,Yes,Yes,,Phase 1,,,,,Last-Mile,Columbia Basin Broadband Corporation - Rural & Remote Broadband Connectivity Project,Original,Original,,Original,,Original,,,,,,No,49.2139,-117.6908,59050106000,5905,5905030,BC49231177
7969,Ootischenia,Rural,No,,26.4,SELKIRK SUB,0.2,Private,BTS - Bathurst -> SEL - Selkirk,230,10,-1,No,No,No ,No,Yes,Yes,,Yes,Yes,,Yes,Yes,,Yes,Yes,,,,,,,,,,,,,,,,,,,,No,49.2833,-117.6333,59030194000,5903,5903058,BC49301176
7970,Castlegar,Rural,No,,31.1,SELKIRK SUB,0.9,Private,BTS - Bathurst -> SEL - Selkirk,230,100,100,No,No,No ,No,Yes,Yes,,Yes,Yes,,Yes,Yes,,Yes,Yes,,,,,,,,,,,,,,,,,,,,Yes,49.3218,-117.6603,59030183000,5903,5903045,BC49331177
7971,Blueberry Creek,Rural,No,,23.3,SELKIRK SUB,0,Unknown,BTS - Bathurst -> SEL - Selkirk,230,100,100,No,No,No ,No,Yes,Yes,,Yes,Yes,,Yes,Yes,,Yes,Yes,,,,,,,,,,,,,,,,,,,,No,49.246,-117.6587,59030198000,5903,5903045,BC49251176
7972,Kinnaird,Rural,No,,26.8,SELKIRK SUB,1.4,Private,BTS - Bathurst -> SEL - Selkirk,230,10,-1,No,No,No ,No,Yes,Yes,,Yes,Yes,,Yes,Yes,,Yes,Yes,,,,,,,,,,,,,,,,,,,,No,49.2834,-117.6508,59030191000,5903,5903045,BC49281177
7973,Raspberry,Rural,No,,32.4,SELKIRK SUB,2.3,,BTS - Bathurst -> SEL - Selkirk,230,100,100,No,No,No ,No,Yes,Yes,,Yes,Yes,,Yes,Yes,,Yes,Yes,,,,,,,,,,,,,,,,,,,,No,49.3358,-117.6574,59030186000,5903,5903058,BC49331177
7974,Robson,Rural,No,,33.5,SELKIRK SUB,1.4,Private,BTS - Bathurst -> SEL - Selkirk,230,100,100,No,No,No ,No,Yes,Yes,,Yes,Yes,,Yes,Yes,,Yes,Yes,,,,,,,,,,,,,,,,,,,,No,49.3375,-117.6914,59030187000,5903,5903058,BC49331177
7975,Glade,Rural,No,,37.5,SELKIRK SUB,0.6,,SEL - Selkirk -> ACK - Ashton Creek,500,100,100,No,No,No ,No,Yes,Yes,Connecting BC Phase 1 Project - Completed Winter 2019,Yes,Yes,,Yes,Yes,,Yes,Yes,,Phase 1,,,,,Last-Mile,Columbia Basin Broadband Corporation - Rural & Remote Broadband Connectivity Project,Original,Original,,Original,,Original,,,,,,No,49.3964,-117.5354,59030177000,5903,5903056,BC49411175
7976,Shoreacres,Rural,No,,41.3,SELKIRK SUB,0.4,Private,SEL - Selkirk -> ACK - Ashton Creek,500,100,100,No,No,No ,No,Yes,Yes,,Yes,Yes,,Yes,Yes,,Yes,Yes,,,,,,,,,,,,,,,,,,,,No,49.4307,-117.5269,59030171000,5903,5903056,BC49431176
7977,Bonnington Falls,Rural,No,,45.3,SELKIRK SUB,0.5,Private,KCL - Kootenay Canal -> SLC - Slocan,69,100,100,No,No,No ,No,Yes,Yes,,Yes,Yes,,Yes,Yes,,Yes,Yes,,,,,,,,,,,,,,,,,,,,No,49.4667,-117.4833,59030169000,5903,5903043,BC49461175
7978,Krestova,Rural,No,,43.1,SELKIRK SUB,2.2,Private,SEL - Selkirk -> ACK - Ashton Creek,500,100,100,No,No,No ,No,Yes,Yes,,Yes,Yes,,Yes,Yes,,Yes,Yes,,,,,,,,,,,,,,,,,,,,No,49.4447,-117.5822,59030174000,5903,5903052,BC49431176
7979,Taghum,Rural,No,,48.9,SELKIRK SUB,0.1,Private,KCL - Kootenay Canal -> SLC - Slocan,69,100,100,No,No,No ,No,Yes,Yes,,Yes,Yes,,Yes,Yes,,Yes,Yes,,,,,,,,,,,,,,,,,,,,No,49.4934,-117.3989,59030166000,5903,5903043,BC49511174
7980,Brilliant,Rural,No,,30.6,SELKIRK SUB,0.9,Private,BTS - Bathurst -> SEL - Selkirk,230,100,100,No,No,No ,No,Yes,Yes,,Yes,Yes,,Yes,Yes,,Yes,Yes,,,,,,,,,,,,,,,,,,,,No,49.3217,-117.6431,59030176000,5903,5903056,BC49301176
7981,Glenmerry,Rural,No,,12.1,SELKIRK SUB,0.7,Private,VAS - Vaseux -> SEL - Selkirk,500,100,100,No,No,No ,No,Yes,Yes,,Yes,Yes,,Yes,Yes,,Yes,Yes,,,,,,,,,,,,,,,,,,,,No,49.1,-117.6667,59050100000,5905,5905014,BC49121177
7982,Sunningdale,Rural,No,,16.2,SELKIRK SUB,1.2,Private,VAS - Vaseux -> SEL - Selkirk,500,100,100,No,No,No ,No,Yes,Yes,,Yes,Yes,,Yes,Yes,,Yes,Yes,,,,,,,,,,,,,,,,,,,,No,49.1167,-117.7167,59050105000,5905,5905014,BC49121177
7983,Park Siding,Rural,No,,12.6,SELKIRK SUB,0.2,Private,BTS - Bathurst -> SEL - Selkirk,230,,,Yes,No,No ,Yes,No,No,Connecting BC Phase 1 Project - Completed Winter 2019,No,No,,No,No,,No,No,,Phase 1,,,,,Last-Mile,Columbia Basin Broadband Corporation - Rural & Remote Broadband Connectivity Project,Original,Original,,Original,,Original,,CBBC - Trail-Nelson Transport,,,,No,49.1725,-117.4935,59050118000,5905,5905026,BC49151175
7984,Christina Lake,Rural,No,,51.5,SELKIRK SUB,0.5,Private,VAS - Vaseux -> SEL - Selkirk,500,100,100,No,No,No ,No,Yes,Yes,Connecting BC Phase 1 Project - Completed Winter 2019,Yes,Yes,,Yes,Yes,,Yes,Yes,,Phase 1,,,,,Last-Mile,Columbia Basin Broadband Corporation - Rural & Remote Broadband Connectivity Project,Original,Original,,Original,,Original,,,,,,No,49.0392,-118.2159,59050076000,5905,5905050,BC49051182
7985,Grand Forks,Rural,No,,68.9,SELKIRK SUB,1.3,Private,VAS - Vaseux -> SEL - Selkirk,500,100,100,No,No,No ,No,Yes,Yes,,Yes,Yes,,Yes,Yes,,Yes,Yes,,,,,,,,,,,,,,,,,,,,Yes,49.029,-118.4533,59050070000,5905,5905032,BC49051185
7986,Sion,Rural,No,,71.2,SELKIRK SUB,3,Private,VAS - Vaseux -> SEL - Selkirk,500,,,No,No,No ,No,Yes,Yes,,Yes,No,,Yes,No,,Yes,No,,,,,,,,,,,,,,,,,,,,No,49.0207,-118.4838,59050066000,5905,5905052,BC49001185
7987,Niagara,Rural,No,,69.9,SELKIRK SUB,1,,VAS - Vaseux -> SEL - Selkirk,500,,,Yes,Yes,No ,Yes,No,No,,No,No,,No,No,,No,No,,,,,,,,,,,,,,,,,,,,No,49.1071,-118.4658,59050079000,5905,5905052,BC49101185
7988,Greenwood,Rural,No,,63.9,VASEUX TERMINAL,1.2,Unknown,VAS - Vaseux -> SEL - Selkirk,500,1,-1,No,No,No ,No,Yes,Yes,,Yes,Yes,,Yes,Yes,,Yes,Yes,,,,,,,,,,,,,,,,,,,,Yes,49.0949,-118.6763,59050064000,5905,5905042,BC49101187
