Place ID,Place Name,Place Type,Coastal_5km,FN Reserve Type,Distance to Nearest Substation (km),Nearest Substation Name,Distance to Nearest Transmission Line (km),Transmission Lines Owner,Transmission Line Description,Transmission Line Voltage (kV),POP Capacity (Gbps) for communities that are within 2km of POP,Remaining Capacity of POP (Gbps) - (-1 indicates capacity is unknown),CBC P3 Last-Mile Eligible,CRTC Last-Mile Eligible,CRTC Satellite Dependant,CRTC Transport Eligible,Last-Mile Status - Sept2019,Transport Status - Sept2019,Notes - Sept2019,Last-Mile Status (March2020),Transport Status (March2020),Notes (March2020),Last-Mile Status (June2020),Transport Status (June2020),Notes (June2020),Last-Mile Status (Sept2020),Transport Status (Sept2020),Notes (Sept2020),CBC Phase,CBC P3 Project Type,CBC P3 Project Name(s),CBC P2 Project Type,CBC P2 Project Name(s),CBC P1 Project Type,CBC P1 Project Name(s),479 Status (Sept2019),479 Status (March 2020),479 Notes (March2020),479 Status (June2020),479 Notes (June2020),479 Status (Sept2020),479 Notes (Sept2020),Potential Projects,FN Alt Name,Nation,Band Number,Incorporated,Latitude,Longitude,DBUID,CDUID,CSDUID,HEXID
7926,Roosville,Rural,No,,31.9,WINSOR SUB,27.8,,ELK - Elko -> CFE - Crestbrook,69,,,Yes,Yes,No ,Yes,No,Pending,Connecting BC Phase 2 Project,No,Pending,,No,Pending,,No,Pending,,Phase 2,,,Transport,Columbia Basin Broadband Corporation - Roosville Valley Fibre Project,,,Original,Original,,Original,,Original,,Rogers - Connector to Columbia Basin Broadband Network North Golden to Spillimacheen - Last-Mile (FWA) benefits,,,,No,49.0236,-115.0469,59010213100,5901,5901019,BC49021150
7927,Grasmere,Rural,No,,23.1,WINSOR SUB,19.1,,ELK - Elko -> CFE - Crestbrook,69,,,Yes,Yes,No ,Yes,No,Pending,Connecting BC Phase 2 Project,No,Pending,,No,Pending,,No,Pending,,Phase 1/2,,,Transport,Columbia Basin Broadband Corporation - Roosville Valley Fibre Project,Last-Mile,Columbia Basin Broadband Corporation - Rural & Remote Broadband Connectivity Project,Original,Original,,Original,,Original,,Rogers - Connector to Columbia Basin Broadband Network North Golden to Spillimacheen - Last-Mile (FWA) benefits,,,,No,49.1,-115.0833,59010213100,5901,5901019,BC49101151
7928,Baynes Lake,Rural,No,,10.3,WINSOR SUB,9.4,,ELK - Elko -> WIN - Winsor,69,,,Yes,Yes,No ,Yes,No,Pending,Connecting BC Phase 2 Project,No,Pending,,No,Pending,,No,Pending,,Phase 1/2,,,Transport,Columbia Basin Broadband Corporation - Roosville Valley Fibre Project,Last-Mile,Columbia Basin Broadband Corporation - Rural & Remote Broadband Connectivity Project,Original,Original,,Original,,Original,,Rogers - Connector to Columbia Basin Broadband Network North Golden to Spillimacheen - Last-Mile (FWA) benefits;  Tough Country - Baynes Lake-Kragmont Sweetwater Transport  ,,,,No,49.2333,-115.2167,59010212000,5901,5901019,BC49251152
7929,Elko,Rural,No,,1.4,WINSOR SUB,0.6,,CBK - Cranbrook -> LGN - Langdon (TAU),500,100,100,Yes,Yes,No ,No,No,No,Connecting BC Phase 1 Project - Completed Winter 2019,No,Yes,,No,Yes,,No,Yes,,Phase 1,,,,,Last-Mile ,Columbia Basin Broadband Corporation - Rural & Remote Broadband Connectivity Project,Original,Original,,Original,,Original,,Rogers - Connector to Columbia Basin Broadband Network South Hwy 3 - Last-Mile (FWA) benefits,,,,No,49.3012,-115.111,59010213100,5901,5901019,BC49301151
7930,Jaffray,Rural,No,,14.1,WARDNER SUB,5.5,,60L289F ELK - Elko -> 15-1,69,100,100,Yes,Yes,No ,No,No,Pending,Connecting BC Phase 2 Project,No,Pending,,No,Pending,,No,Pending,,Phase 1/2,,,Transport,Columbia Basin Broadband Corporation - Roosville Valley Fibre Project,Last-Mile,Columbia Basin Broadband Corporation - Rural & Remote Broadband Connectivity Project,Original,Original,,Original,,Original,,Rogers - Connector to Columbia Basin Broadband Network South Hwy 3 - Last-Mile (FWA) benefits,,,,No,49.3744,-115.3,59010210100,5901,5901019,BC49381153
7931,Wardner,Rural,No,,9.7,WARDNER SUB,5.5,,CBK - Cranbrook -> LGN - Langdon (TAU),500,100,100,Yes,Yes,No ,No,No,No,Connecting BC Phase 1 Project - Completed Winter 2019,No,Yes,,No,Yes,,No,Yes,,Phase 1,,,,,Last-Mile ,Columbia Basin Broadband Corporation - Rural & Remote Broadband Connectivity Project,Original,Original,,Original,,Original,,Rogers - Connector to Columbia Basin Broadband Network South Hwy 3 - Last-Mile (FWA) benefits,,,,No,49.417,-115.429,59010143100,5901,5901035,BC49411155
7932,Bull River,Rural,No,,6.6,WARDNER SUB,2.1,,CBK - Cranbrook -> LGN - Langdon (TAU),500,100,100,Yes,Yes,No ,No,No,No,,No,Yes,,No,Yes,,No,Yes,,,,,,,,,,,,,,,,Rogers - Connector to Columbia Basin Broadband Network South Hwy 3 - Last-Mile (FWA) benefits,,,,No,49.4701,-115.4482,59010143100,5901,5901035,BC49461155
7933,Mayook,Rural,No,,1.6,CRANBROOK SUB,1.5,,SEL - Selkirk -> CBK - Cranbrook,500,100,100,Yes,Yes,No ,No,No,No,,No,Yes,,No,Yes,,No,Yes,,,,,,,,,,,,,,,,Rogers - Connector to Columbia Basin Broadband Network South Hwy 3 - Last-Mile (FWA) benefits,,,,No,49.4869,-115.5769,59010182100,5901,5901035,BC49511156
7934,Cranbrook,Rural,No,,1.2,STEEPLES SUB,1.2,,CBK - Cranbrook -> SPL - Steeples,69,100,100,No,No,No ,No,Yes,Yes,,Yes,Yes,,Yes,Yes,,Yes,Yes,,,,,,,,,,,,,,,,,,,,Yes,49.5155,-115.7589,59010188000,5901,5901022,BC49541158
7935,Cokato,Rural,No,,4,FERNIE SUB,0.1,Unknown,ELK - Elko -> NTL - Natal,69,100,100,No,No,No ,No,Yes,Yes,,Yes,Yes,,Yes,Yes,,Yes,Yes,,,,,,,,,,,,,,,,,,,,No,49.4667,-115.0667,59010254000,5901,5901017,BC49461151
7936,Fernie,Rural,No,,0.8,FERNIE SUB,0.8,,ELK - Elko -> NTL - Natal,69,100,100,No,No,No ,No,Yes,Yes,,Yes,Yes,,Yes,Yes,,Yes,Yes,,,,,,,,,,,,,,,,,,,,Yes,49.5068,-115.0688,59010222000,5901,5901012,BC49511151
7937,Hosmer,Rural,No,,11.9,FERNIE SUB,0.6,,ELK - Elko -> NTL - Natal,69,100,100,No,No,No ,No,Yes,Yes,,Yes,Yes,,Yes,Yes,,Yes,Yes,,,,,,,,,,,,,,,,,,,,No,49.5897,-114.9645,59010227000,5901,5901017,BC49611150
7938,Sparwood,Rural,No,,2.4,NATAL SUB,1.1,,CBK - Cranbrook -> NTL - Natal,230,20,10,No,No,No ,No,Yes,Yes,,Yes,Yes,,Yes,Yes,,Yes,Yes,,,,,,,,,,,,,,,,,,,,Yes,49.7326,-114.8919,59010228000,5901,5901006,BC49741149
7939,Elkford,Rural,No,,2,ELKFORD SUB,0.3,,NTL - Natal -> TAU Tie,130,100,100,No,No,No ,No,Yes,Yes,Market Forces,Yes,Yes,,Yes,Yes,,Yes,Yes,,,,,,,,,,,,,,,,,,,,Yes,50.0104,-114.9296,59010241000,5901,5901003,BC50001149
7940,Moyie,Rural,No,,0.4,MOYIE LAKE SUB,0.1,,60L284MYE Tap -> Moyie Lake,69,100,100,No,Yes,No ,No,No,No,Connecting BC Phase 1 Project - Completed Winter 2019,No,Yes,,Yes,Yes,Market Forces,Yes,Yes,,Phase 1,,,,,Last-Mile ,Columbia Basin Broadband Corporation - Rural & Remote Broadband Connectivity Project,Original,Original,,Original,,Original,,Swift Internet - Creston Valley Last-Mile,,,,No,49.2888,-115.8316,59010208100,5901,5901035,BC49301158
7941,Yahk,Rural,No,,28.8,MOYIE LAKE SUB,13.3,,SEL - Selkirk -> CBK - Cranbrook,500,10,-1,Yes,Yes,No ,No,No,No,Connecting BC Phase 1 Project - Completed Winter 2019,No,Yes,,No,Yes,,No,Yes,,Phase 1,,,,,Last-Mile ,Columbia Basin Broadband Corporation - Rural & Remote Broadband Connectivity Project,Original,Original,,Original,,Original,,Swift Internet - Creston Valley Last-Mile,,,,No,49.085,-116.0819,59030222000,5903,5903013,BC49101161
7942,Kitchener,Rural,No,,39.7,MOYIE LAKE SUB,0.9,,NLY - Nelway -> CBK - Cranbrook,230,10,9,Yes,Yes,No ,No,No,No,Connecting BC Phase 1 Project - Completed Winter 2019,No,Yes,,No,Yes,,No,Yes,,Phase 1,,,,,Last-Mile ,Columbia Basin Broadband Corporation - Rural & Remote Broadband Connectivity Project,Original,Original,,Original,,Original,,Swift Internet - Creston Valley Last-Mile,,,,No,49.1567,-116.3395,59030225000,5903,5903013,BC49171164
7943,Creston,Rural,No,,53.5,MOYIE LAKE SUB,1.1,Private,NLY - Nelway -> CBK - Cranbrook,230,20,10,No,No,No ,No,Yes,Yes,,Yes,Yes,,Yes,Yes,,Yes,Yes,,,,,,,,,,,,,,,,,,,,Yes,49.1006,-116.5075,59030212000,5903,5903004,BC49101165
7944,Wynndel,Rural,No,,53.9,MOYIE LAKE SUB,0.7,Private,NLY - Nelway -> CBK - Cranbrook,230,100,100,No,No,No ,No,No,No,Connecting BC Phase 1 Project - Completed Winter 2019,Yes,Yes,,Yes,Yes,,Pending,Yes,Connecting BC Phase 3 Intake 1 Project,Phase 1/3,Last-Mile,Swift Internet - Wynndel Fixed Wireless,,,Last-Mile ,Columbia Basin Broadband Corporation - Rural & Remote Broadband Connectivity Project,Original,Original,,Original,,Original,,,,,,No,49.18,-116.5525,59030227000,5903,5903010,BC49201165
7945,Lister,Rural,No,,53.2,MOYIE LAKE SUB,5.2,,SEL - Selkirk -> CBK - Cranbrook,500,,,Yes,No,No ,Yes,No,No,Connecting BC Phase 1 Project - Completed Winter 2019,No,No,,No,No,,No,No,,Phase 1,,,,,Last-Mile ,Columbia Basin Broadband Corporation - Rural & Remote Broadband Connectivity Project,Original,Original,,Original,,Original,,Rogers - Connector to Columbia Basin Broadband Network South Hwy 3 - Last-Mile (FWA) benefits,,,,No,49.0474,-116.4631,59030224000,5903,5903013,BC49071165
7946,Canyon,Rural,No,,50.1,MOYIE LAKE SUB,4.6,Private,NLY - Nelway -> CBK - Cranbrook,230,,,No,No,No ,Yes,Yes,Yes,Connecting BC Phase 1 Project - Completed Winter 2019,Yes,No,,Yes,No,,Yes,No,,Phase 1,,,,,Last-Mile,Columbia Basin Broadband Corporation - Rural & Remote Broadband Connectivity Project,Original,Original,,Original,,Original,,,,,,No,49.0813,-116.4429,59030222000,5903,5903013,BC49101164
7947,Huscroft,Rural,No,,55.2,MOYIE LAKE SUB,1.8,,SEL - Selkirk -> CBK - Cranbrook,500,,,Yes,Yes,No ,Yes,No,No,Connecting BC Phase 1 Project - Completed Winter 2019,No,No,,No,No,,No,No,,Phase 1,,,,,Last-Mile,Columbia Basin Broadband Corporation - Rural & Remote Broadband Connectivity Project,Original,Original,,Original,,Original,,Rogers - Connector to Columbia Basin Broadband Network South Hwy 3 - Transport and Last-Mile (FWA);  Swift Internet - Creston Valley Last-Mile  ,,,,No,49.0167,-116.4667,59030224000,5903,5903013,BC49021165
7949,Crawford Bay,Rural,No,,53.1,NEW DENVER SUB,0.3,Private,MON - Monashee -> NDR - New Denver,69,100,100,Yes,Yes,No ,No,No,No,Connecting BC Phase 1 Project - Completed Winter 2019,No,Yes,,No,Yes,,No,Yes,,Phase 1,,,,,Last-Mile,Columbia Basin Broadband Corporation - Rural & Remote Broadband Connectivity Project,Original,Original,,Original,,Original,,Rogers - Connector to Columbia Basin Broadband Network South Hwy 3 - Last-Mile (FWA) benefits,,,,No,49.6766,-116.8224,59030228000,5903,5903010,BC49691168
7950,Balfour,Rural,No,,50,NEW DENVER SUB,0.2,Private,KCL - Kootenay Canal -> SLC - Slocan,69,10,9,No,No,No ,No,Yes,Yes,,Yes,Yes,,Yes,Yes,,Yes,Yes,,,,,,,,,,,,,,,,,,,,No,49.6283,-116.9718,59030232000,5903,5903041,BC49641170
7951,Procter,Rural,No,,51.9,NEW DENVER SUB,1.8,Private,KCL - Kootenay Canal -> SLC - Slocan,69,10,9,No,No,No ,No,Yes,Yes,,Yes,Yes,,Yes,Yes,,Yes,Yes,,,,,,,,,,,,,,,,,,,,No,49.6156,-116.9558,59030230000,5903,5903041,BC49641170
7952,Harrop,Rural,No,,49.6,NEW DENVER SUB,1.9,Private,KCL - Kootenay Canal -> SLC - Slocan,69,100,100,No,No,No ,No,Yes,Yes,Connecting BC Phase 1 Project - Completed Winter 2019,Yes,Yes,,Yes,Yes,,Yes,Yes,,Phase 1,,,,,Last-Mile,Columbia Basin Broadband Corporation - Rural & Remote Broadband Connectivity Project,Original,Original,,Original,,Original,,,,,,No,49.6016,-117.0532,59030230000,5903,5903041,BC49591171
7953,Riondel,Rural,No,,45.3,NEW DENVER SUB,0.7,Unknown,MON - Monashee -> NDR - New Denver,69,,,Yes,Yes,No ,Yes,No,No,Connecting BC Phase 1 Project - Completed Winter 2019,No,No,,No,No,,No,No,,Phase 1,,,,,Last-Mile,Columbia Basin Broadband Corporation - Rural & Remote Broadband Connectivity Project,Original,Original,,Original,,Original,,Rogers - Connector to Columbia Basin Broadband Network South Hwy 3 - Last-Mile (FWA) benefits,,,,No,49.7618,-116.8562,59030237000,5903,5903010,BC49741168
7954,Ymir,Rural,No,,32.1,NELWAY SUB,0.2,Private,NLY - Nelway -> CBK - Cranbrook,230,,,Yes,Yes,No ,Yes,No,No,Connecting BC Phase 1 Project - Completed Winter 2019,No,No,,No,No,,No,No,,Phase 1,,,,,Last-Mile,Columbia Basin Broadband Corporation - Rural & Remote Broadband Connectivity Project,Original,Original,,Original,,Original,,CBBC - Trail-Nelson Transport,,,,No,49.2833,-117.2167,59030199000,5903,5903047,BC49281172
7955,Six Mile,Rural,No,,47.7,NEW DENVER SUB,0.7,Private,KCL - Kootenay Canal -> SLC - Slocan,69,1,-1,No,No,No ,No,Yes,Yes,,Yes,Yes,,Yes,Yes,,Yes,Yes,,Phase 1,,,,,Last-Mile,ispeed Communications - ispeed Expansion,Original,Original,,Original,,Original,,,,,,No,49.5786,-117.2251,59030235000,5903,5903043,BC49591172
7956,Ainsworth Hot Springs,Rural,No,,44,NEW DENVER SUB,0.2,Private,MON - Monashee -> NDR - New Denver,69,,,No,No,No ,No,Yes,Yes,Market Forces,Yes,No,,Yes,No,,Yes,No,,Phase 1,,,,,Transport/Last-Mile,"Columbia Basin Broadband Corporation - Kootenay Lake Fibre, Columbia Basin Broadband Corporation - Rural & Remote Broadband Connectivity Project",Original,Original,,Original,,Original,,,,,,No,49.7343,-116.9126,59030244000,5903,5903039,BC49721169
