id,name,closest_community_id,closest_community_distance,Latitude,census_subdivision_id,Location Name,First Responders,Diagnostic Facilities,Timber Facilities,Civic Facilities,Airports,Port And Terminal,Customs Ports Of Entry,Local Govt Offices,Laboratory Service,Emergency Social Service Facilities,Pharmacies,Economic Projects,Hospitals,Service BC Locations,Schools,Clinics,Courts,Post Secondary Institutions,Research Centres,Public Library,Is within 50 km,Longitude,location_type_id,location_website
9544,No data available,,,49.06916914,5909052,No data available,,,,,,,,,,,,,,,,,,,,,,-122.2853787,21,
9509,No data available,,,52.28699441,5941844,No data available,,,,,,,,,,,,,,,,,,,,,,-124.1633178,21,
9510,No data available,,,49.26497624,5923801,No data available,,,,,,,,,,,,,,,,,,,,,,-124.8254838,21,
9513,No data available,,,49.68469019,5924803,No data available,,,,,,,,,,,,,,,,,,,,,,-126.1197736,21,
9514,No data available,,,49.14972472,5909835,No data available,,,,,,,,,,,,,,,,,,,,,,-121.9912903,21,
9515,No data available,,,49.21471725,5923802,No data available,,,,,,,,,,,,,,,,,,,,,,-124.8096925,21,
10175,No data available,,,48.87343133,5923047,No data available,,,,,,,,,,,,,,,,,,,,,,-124.945398,21,
9981,No data available,,,49.36005381,5923033,No data available,,,,,,,,,,,,,,,,,,,,,,-124.9029076,21,
10176,No data available,,,49.22338543,5923049,No data available,,,,,,,,,,,,,,,,,,,,,,-125.8055823,21,
9982,No data available,,,49.35160889,5923035,No data available,,,,,,,,,,,,,,,,,,,,,,-125.2014242,21,
9983,No data available,,,49.29942676,5923037,No data available,,,,,,,,,,,,,,,,,,,,,,-124.859584,21,
9984,No data available,,,49.18913986,5923039,No data available,,,,,,,,,,,,,,,,,,,,,,-124.7186069,21,
9516,No data available,,,49.5218031,5909876,No data available,,,,,,,,,,,,,,,,,,,,,,-121.4213221,21,
9517,No data available,,,50.59475666,5943837,No data available,,,,,,,,,,,,,,,,,,,,,,-126.9410748,21,
10000,No data available,,,50.5812737,5943008,No data available,,,,,,,,,,,,,,,,,,,,,,-126.9185337,21,
9518,No data available,,,52.57014265,5941882,No data available,,,,,,,,,,,,,,,,,,,,,,-122.4844792,21,
9519,No data available,,,49.21806597,5907808,No data available,,,,,,,,,,,,,,,,,,,,,,-119.9182759,21,
