TSUNAMI_NOTIFY_ZONE_ID,TSUNAMI_ZONE_CLASSIFICATION,TSUNAMI_ZONE_NAME
8081,A,A - Haida Gwaii - North Coast
8082,B,B - Mid Coast
8083,C,C - West Coast Vancouver Island
8084,D,D - Strait of Juan de Fuca
8085,E,E - Strait of Georgia - Discovery
