CENSUS_SUB,TOURISM_REGION_ID,LGL_ADMIN_AREA_ID,ECONOMIC_REGION_ID,MOF_FIRE_ZONE_ID,TSUNAMI_NOTIFY_ZONE_ID,LOCAL_HLTH_AREA_CODE,HLTH_AUTHORITY_CODE,ADMIN_AREA_SID,Natural Resource Region ID
5951801,F,2,5970,422,,523,5,354,7
5951802,F,2,5970,422,,523,5,354,7
5951805,F,2,5970,422,,523,5,354,7
5951803,F,2,5970,422,,523,5,354,7
5951806,F,2,5970,422,,523,5,354,7
5951807,F,2,5970,422,,523,5,354,7
5951810,F,2,5970,422,,523,5,354,7
5951809,F,2,5970,422,,523,5,354,7
5951811,F,2,5970,422,,523,5,354,7
5951813,F,2,5970,422,,523,5,354,7
5951814,F,2,5970,422,,523,5,354,7
5951804,F,2,5970,422,,523,5,354,7
5951007,F,2,5970,422,,523,5,354,7
5951009,F,2,5970,422,,523,5,354,7
5951019,F,2,5970,422,,523,5,354,7
5951013,F,2,5970,422,,523,5,354,7
5951015,F,2,5970,422,,523,5,354,7
5951017,F,2,5970,422,,523,5,354,7
5951849,F,2,5970,422,,523,5,354,7
5951848,F,2,5970,422,,523,5,354,7
5951832,F,2,5970,422,,523,5,354,7
5951840,F,2,5970,422,,523,5,354,7
5951034,F,2,5970,418,,514,5,327,1
5951038,F,2,5970,419,,514,5,327,1
5951043,F,2,5970,419,,514,5,327,1
5951053,F,2,5970,418,,523,5,354,1
5951051,F,2,5970,419,,514,5,327,1
5951815,F,2,5970,418,,522,5,354,1
5951818,F,2,5970,418,,522,5,354,1
5951022,F,2,5970,418,,522,5,354,1
5951028,F,2,5970,418,,522,5,354,1
5951031,F,2,5970,418,,522,5,354,1
5951032,F,2,5970,418,,522,5,354,1
5951822,F,2,5970,418,,522,5,354,1
5951819,F,2,5970,418,,522,5,354,1
5951820,F,2,5970,418,,522,5,354,1
5951821,F,2,5970,418,,522,5,354,1
5951823,F,2,5970,418,,522,5,354,1
5951824,F,2,5970,418,,522,5,354,1
5951828,F,2,5970,419,,523,5,354,1
5951825,F,2,5970,418,,522,5,354,1
5951826,F,2,5970,418,,522,5,354,1
5951827,F,2,5970,418,,522,5,354,1
5951847,F,2,5970,418,,522,5,354,1
5951829,F,2,5970,418,,522,5,354,1
5951830,F,2,5970,419,,514,5,327,1
5951831,F,2,5970,419,,523,5,354,1
5951833,F,2,5970,418,,522,5,354,1
5951844,F,2,5970,418,,522,5,354,1
5951845,F,2,5970,418,,523,5,354,1
5951846,F,2,5970,418,,523,5,354,1
5941014,E,18,5950,428,,146,1,305,4
5941015,E,18,5950,427,,144,1,305,4
5941016,E,18,5950,427,,144,1,305,4
5941017,E,18,5950,427,,144,1,305,4
5941019,E,18,5950,430,,521,5,306,4
5941005,E,18,5950,427,,144,1,305,4
5941009,E,18,5950,428,,146,1,305,4
