TABLES,BUCKET,Dependency,Datasource,Datasource type,Used by CIT?
pipeline_portandterminaldistance,X,Creation of opportunity,/api/opportunity/proximity/?lat=48.4237865&lng=-123.3598657,,CIOT
pipeline_postsecondarydistance,X,Creation of opportunity,/api/opportunity/proximity/?lat=48.4237865&lng=-123.3598657,,CIOT
pipeline_postsecondaryinstitution,4,,https://catalogue.data.gov.bc.ca/dataset/81558d54-1f96-46c2-94fe-56d26f69c4f5,api,CIOT
pipeline_preferreddevelopment,X,Migration,,,
pipeline_project,5,,https://catalogue.data.gov.bc.ca/dataset/major-projects-inventory-economic-points,wms,
pipeline_propertystatus,X,Creation of opportunity,/api/opportunity/proximity/?lat=48.4237865&lng=-123.3598657,,CIOT
pipeline_provincialelectoraldistrict,4,,https://catalogue.data.gov.bc.ca/dataset/provincial-electoral-districts-electoral-boundaries-redistribution-2015,wms,
pipeline_publiclibrary,5,,https://catalogue.data.gov.bc.ca/dataset/bc-public-libraries-systems-branches-and-locations,wms,
pipeline_railway,4,,https://catalogue.data.gov.bc.ca/dataset/railway-track-line,wms,CIOT
pipeline_railwaydistance,X,Creation of opportunity,/api/opportunity/proximity/?lat=48.4237865&lng=-123.3598657,,CIOT
pipeline_regionaldistrict,2,,https://catalogue.data.gov.bc.ca/dataset/regional-districts-legally-defined-administrative-areas-of-bc,wms,CIT
pipeline_researchcentre,4,,https://catalogue.data.gov.bc.ca/dataset/7859ae46-2aa1-47ee-a05b-7d0daa472678,api,CIOT
pipeline_researchcentredistance,X,Creation of opportunity,/api/opportunity/proximity/?lat=48.4237865&lng=-123.3598657,,CIOT
pipeline_river,4,,https://catalogue.data.gov.bc.ca/dataset/freshwater-atlas-rivers,wms,
pipeline_riverdistance,X,Creation of opportunity,/api/opportunity/proximity/?lat=48.4237865&lng=-123.3598657,,CIOT
pipeline_road,X,,,,
pipeline_roadsandhighways,4,,https://catalogue.data.gov.bc.ca/dataset/digital-road-atlas-dra-master-partially-attributed-roads,wms,
pipeline_roadsandhighwaysdistance,X,Creation of opportunity,/api/opportunity/proximity/?lat=48.4237865&lng=-123.3598657,,CIOT
pipeline_school,5,,https://catalogue.data.gov.bc.ca/dataset/95da1091-7e8c-4aa6-9c1b-5ab159ea7b42,api,
pipeline_schooldistrict,2,,https://catalogue.data.gov.bc.ca/dataset/school-districts-of-bc,wms,CIT
pipeline_schooldistrict_community,X,No Info,,,
pipeline_service,4,,https://www.ic.gc.ca/eic/site/720.nsf/vwapj/Map_Data_CSV.zip/$file/Map_Data_CSV.zip,csv,
pipeline_servicebclocation,5,,https://catalogue.data.gov.bc.ca/dataset/2b44d212-5438-47a9-ad23-20eb8ada9709,,
pipeline_timberfacility,5,,https://catalogue.data.gov.bc.ca/dataset/british-columbia-major-timber-processing-facilities,wms,
pipeline_tourismregion,2,,https://catalogue.data.gov.bc.ca/dataset/bc-tourism-regions,wms,CIT
pipeline_tsunamizone,2,,https://catalogue.data.gov.bc.ca/dataset/tsunami-notification-zones-for-bc,wms,CIT
pipeline_user,X,Creation of opportunity - data obtained from keycloak,,,CIOT
pipeline_usertracking,X,Insert User when Power BI  report is internal,,,
pipeline_wildfirezone,7,,https://catalogue.data.gov.bc.ca/dataset/bc-wildfire-fire-zones,wms,
